Date,Country,New Cases,Cumulative cases,New deaths,Cumulative deaths
1/3/20,United States of America,0,0,0,0
1/4/20,United States of America,0,0,0,0
1/5/20,United States of America,0,0,0,0
1/6/20,United States of America,0,0,0,0
1/7/20,United States of America,0,0,0,0
1/8/20,United States of America,0,0,0,0
1/9/20,United States of America,0,0,0,0
1/10/20,United States of America,0,0,0,0
1/11/20,United States of America,0,0,0,0
1/12/20,United States of America,0,0,0,0
1/13/20,United States of America,0,0,0,0
1/14/20,United States of America,0,0,0,0
1/15/20,United States of America,0,0,0,0
1/16/20,United States of America,0,0,0,0
1/17/20,United States of America,0,0,0,0
1/18/20,United States of America,0,0,0,0
1/19/20,United States of America,0,0,0,0
1/20/20,United States of America,1,1,0,0
1/21/20,United States of America,0,1,0,0
1/22/20,United States of America,0,1,0,0
1/23/20,United States of America,0,1,0,0
1/24/20,United States of America,0,1,0,0
1/25/20,United States of America,8,9,0,0
1/26/20,United States of America,0,9,0,0
1/27/20,United States of America,0,9,0,0
1/28/20,United States of America,0,9,0,0
1/29/20,United States of America,0,9,0,0
1/30/20,United States of America,0,9,0,0
1/31/20,United States of America,7,16,0,0
2/1/20,United States of America,0,16,0,0
2/2/20,United States of America,0,16,0,0
2/3/20,United States of America,0,16,0,0
2/4/20,United States of America,0,16,0,0
2/5/20,United States of America,0,16,0,0
2/6/20,United States of America,0,16,0,0
2/7/20,United States of America,10,26,0,0
2/8/20,United States of America,0,26,0,0
2/9/20,United States of America,0,26,0,0
2/10/20,United States of America,0,26,0,0
2/11/20,United States of America,0,26,0,0
2/12/20,United States of America,0,26,0,0
2/13/20,United States of America,0,26,0,0
2/14/20,United States of America,10,36,0,0
2/15/20,United States of America,0,36,0,0
2/16/20,United States of America,0,36,0,0
2/17/20,United States of America,0,36,0,0
2/18/20,United States of America,0,36,0,0
2/19/20,United States of America,0,36,0,0
2/20/20,United States of America,0,36,0,0
2/21/20,United States of America,16,52,0,0
2/22/20,United States of America,0,52,0,0
2/23/20,United States of America,0,52,0,0
2/24/20,United States of America,0,52,0,0
2/25/20,United States of America,0,52,0,0
2/26/20,United States of America,0,52,0,0
2/27/20,United States of America,0,52,0,0
2/28/20,United States of America,31,83,0,0
2/29/20,United States of America,0,83,0,0
3/1/20,United States of America,0,83,0,0
3/2/20,United States of America,0,83,0,0
3/3/20,United States of America,0,83,0,0
3/4/20,United States of America,0,83,0,0
3/5/20,United States of America,0,83,0,0
3/6/20,United States of America,120,203,6,6
3/7/20,United States of America,0,203,0,6
3/8/20,United States of America,0,203,0,6
3/9/20,United States of America,0,203,0,6
3/10/20,United States of America,0,203,0,6
3/11/20,United States of America,0,203,0,6
3/12/20,United States of America,0,203,0,6
3/13/20,United States of America,1234,1437,8,14
3/14/20,United States of America,0,1437,0,14
3/15/20,United States of America,0,1437,0,14
3/16/20,United States of America,0,1437,0,14
3/17/20,United States of America,0,1437,0,14
3/18/20,United States of America,0,1437,0,14
3/19/20,United States of America,0,1437,0,14
3/20/20,United States of America,8469,9906,135,149
3/21/20,United States of America,0,9906,0,149
3/22/20,United States of America,0,9906,0,149
3/23/20,United States of America,0,9906,0,149
3/24/20,United States of America,0,9906,0,149
3/25/20,United States of America,0,9906,0,149
3/26/20,United States of America,0,9906,0,149
3/27/20,United States of America,60591,70497,1154,1303
3/28/20,United States of America,0,70497,0,1303
3/29/20,United States of America,0,70497,0,1303
3/30/20,United States of America,0,70497,0,1303
3/31/20,United States of America,0,70497,0,1303
4/1/20,United States of America,0,70497,0,1303
4/2/20,United States of America,0,70497,0,1303
4/3/20,United States of America,159264,229761,5445,6748
4/4/20,United States of America,0,229761,0,6748
4/5/20,United States of America,0,229761,0,6748
4/6/20,United States of America,0,229761,0,6748
4/7/20,United States of America,0,229761,0,6748
4/8/20,United States of America,0,229761,0,6748
4/9/20,United States of America,0,229761,0,6748
4/10/20,United States of America,219065,448826,12672,19420
4/11/20,United States of America,0,448826,0,19420
4/12/20,United States of America,0,448826,0,19420
4/13/20,United States of America,0,448826,0,19420
4/14/20,United States of America,0,448826,0,19420
4/15/20,United States of America,0,448826,0,19420
4/16/20,United States of America,0,448826,0,19420
4/17/20,United States of America,206847,655673,15500,34920
4/18/20,United States of America,0,655673,0,34920
4/19/20,United States of America,0,655673,0,34920
4/20/20,United States of America,0,655673,0,34920
4/21/20,United States of America,0,655673,0,34920
4/22/20,United States of America,0,655673,0,34920
4/23/20,United States of America,0,655673,0,34920
4/24/20,United States of America,201724,857397,15414,50334
4/25/20,United States of America,0,857397,0,50334
4/26/20,United States of America,0,857397,0,50334
4/27/20,United States of America,0,857397,0,50334
4/28/20,United States of America,0,857397,0,50334
4/29/20,United States of America,0,857397,0,50334
4/30/20,United States of America,0,857397,0,50334
5/1/20,United States of America,195210,1052607,13828,64162
