,v,vw,o,c,h,l,t,n
0,6793324.0,119.0897,118.86,118.94,119.89,118.7016,1577941200000,61048
1,5482362.0,118.0751,118.27,117.89,118.7886,117.59,1578027600000,42196
2,6569874.0,117.5241,117.4,117.65,118.09,116.77,1578286800000,44341
3,6937359.0,116.6731,117.26,116.56,117.515,116.2,1578373200000,54641
4,5961245.0,116.1901,116.3,116.16,116.73,115.68,1578459600000,53486
5,5676256.0,116.9471,116.15,117.36,117.37,116.0806,1578546000000,49125
6,6146640.0,116.427,117.24,116.38,117.34,115.98,1578632400000,57645
7,6208106.0,115.7796,116.38,115.88,116.55,115.37,1578891600000,47857
8,6688669.0,115.9534,115.47,116.18,116.2099,115.13,1578978000000,46159
9,7635157.0,115.0555,114.63,115.28,115.87,114.52,1579064400000,62312
10,5454999.0,115.7443,115.5,115.9,115.93,115.28,1579150800000,39135
11,10727111.0,115.282,116.05,114.96,116.3,114.64,1579237200000,65102
12,7499828.0,115.268,114.59,115.59,115.69,114.5151,1579582800000,61267
13,5018318.0,116.1884,115.22,116.1,116.53,115.18,1579669200000,46483
14,4376465.0,115.6798,116.21,115.81,116.31,115.04,1579755600000,39088
15,4475208.0,114.8131,116.0,114.37,116.03,114.15,1579842000000,44593
16,7125277.0,115.3605,113.19,115.86,116.23,112.68,1580101200000,60289
17,5319941.0,116.5769,115.98,116.6,116.9,115.9496,1580187600000,39100
18,3836638.0,116.4178,116.56,115.89,117.12,115.89,1580274000000,32130
19,4638270.0,116.0774,115.61,116.58,116.72,115.3314,1580360400000,44016
20,7895720.0,114.6201,115.8,114.49,116.2599,113.9,1580446800000,64985
21,4453705.0,114.4953,114.9,114.27,115.39,114.1,1580706000000,41360
22,5324779.0,115.5174,115.24,115.27,116.24,114.89,1580792400000,47185
23,5728855.0,116.4303,115.6,116.81,116.95,114.85,1580878800000,46175
24,5465946.0,116.5707,116.83,116.31,117.23,116.06,1580965200000,57460
25,3750709.0,116.3708,116.11,116.45,116.76,115.76,1581051600000,38319
26,6251270.0,115.5965,115.75,115.25,116.98,115.045,1581310800000,51320
27,5881406.0,114.9976,115.43,115.4,115.5,114.44,1581397200000,54568
28,4812964.0,115.9766,115.5,115.85,116.42,115.41,1581483600000,39825
29,5385239.0,117.147,115.85,117.44,117.535,115.5809,1581570000000,51278
30,8204793.0,117.8682,117.67,117.89,118.57,117.155,1581656400000,60596
31,11792698.0,119.051,118.47,119.63,119.95,117.36,1582002000000,94280
32,7341775.0,118.3547,119.5,117.68,119.94,117.68,1582088400000,58660
33,5130903.0,117.6044,117.21,117.69,118.11,116.86,1582174800000,49688
34,6530010.0,118.2946,117.44,118.58,118.75,117.31,1582261200000,44804
35,6810780.0,116.9408,117.46,116.32,118.46,115.952,1582520400000,69094
36,7847646.0,115.2426,116.35,114.39,117.07,114.05,1582606800000,69726
37,6810311.0,114.233,114.7,113.78,115.17,113.65,1582693200000,67202
38,9611650.0,112.0803,112.56,110.4,114.07,110.35,1582779600000,95164
39,17774788.0,106.5821,107.69,107.68,108.52,104.37,1582866000000,159090
40,17307004.0,114.0339,107.6,115.88,116.3973,107.29,1583125200000,133977
41,11262851.0,114.2749,116.08,112.91,117.53,112.34,1583211600000,111951
42,8312574.0,115.4725,114.24,116.77,116.84,113.47,1583298000000,76590
43,8680919.0,115.7466,114.4,115.92,117.25,113.91,1583384400000,84230
44,9950194.0,115.7806,113.87,117.23,117.91,113.01,1583470800000,101457
45,20037740.0,117.8988,113.82,117.16,120.63,112.73,1583726400000,191052
46,12735932.0,117.976,118.1,119.79,120.68,114.92,1583812800000,130099
47,10673864.0,115.4204,117.51,114.43,119.03,112.8,1583899200000,108356
48,19099859.0,106.7825,106.02,104.05,111.49,102.98,1583985600000,178506
49,14468167.0,108.4006,108.24,114.1,114.59,103.88,1584072000000,151366
50,12251302.0,108.1306,105.2,106.76,111.3292,102.0,1584331200000,127531
51,17801867.0,116.1584,112.77,119.26,119.27,110.46,1584417600000,182061
52,26119485.0,123.1019,115.0,122.58,128.08,114.5,1584504000000,245916
53,19300137.0,122.3017,124.46,119.45,127.0,117.63,1584590400000,166067
54,20016100.0,116.2076,119.5,113.97,122.79,111.89,1584676800000,160597
55,13398191.0,114.475,114.17,114.28,117.54,112.21,1584936000000,138284
56,14454266.0,113.5932,115.87,115.03,117.37,111.31,1585022400000,140928
57,17971123.0,110.243,112.97,109.4,114.0,108.05,1585108800000,167366
58,19582805.0,108.5906,109.4,109.82,110.87,106.8466,1585195200000,170571
59,12229344.0,109.9306,110.11,109.58,112.28,108.6007,1585281600000,116100
60,9937631.0,113.6558,111.86,115.19,115.8,110.9372,1585540800000,98509
61,8902117.0,114.4994,114.31,113.62,116.19,112.64,1585627200000,87468
62,9627005.0,114.3047,112.15,114.14,115.53,111.8,1585713600000,95269
63,9934162.0,116.2974,113.18,118.65,119.11,112.335,1585800000000,85424
64,9639953.0,118.3895,117.21,119.48,119.91,117.03,1585886400000,86634
65,16250812.0,123.8132,119.06,126.07,126.39,118.94,1586145600000,135808
66,14043930.0,123.9737,123.98,121.99,126.49,121.64,1586232000000,116533
67,9418212.0,121.8159,123.69,121.84,123.81,120.59,1586318400000,89741
68,11194954.0,121.4533,118.22,121.8,122.87,117.66,1586404800000,117063
69,8164669.0,124.1714,121.27,125.3,125.67,121.17,1586750400000,78864
70,11612154.0,128.6151,127.1,129.0,129.79,126.0352,1586836800000,100422
71,7715251.0,128.6377,129.0,128.76,129.88,127.12,1586923200000,80525
72,10758134.0,131.2133,129.0,132.33,132.92,128.25,1587009600000,110194
73,10725546.0,131.2075,131.48,132.12,132.97,129.725,1587096000000,104754
74,8312627.0,131.37,132.39,129.85,133.38,129.76,1587355200000,74969
75,9456400.0,129.5142,130.07,129.21,131.03,128.16,1587441600000,100869
76,6606963.0,131.0343,130.0,131.59,132.38,128.9,1587528000000,66962
