,Date,New Cases,New Deaths,volume weighted average price,1_week_future_price,2_week_future_price,3_week_future_price,1_month_future_price,2_month_future_price,3_month_future_price,4_month_future_price,5_month_future_price,6_month_future_price,7_month_future_price,8_month_future_price,9_month_future_price,10_month_future_price,11_month_future_price,12_month_future_price
19,2020-01-31,7,0,2032.9560000000001,2077.4163,2139.4129,2010.3545,1951.7325,1903.6781,2341.9484,2512.7482,3135.0009999999997,3139.5948,3263.6375,3434.6474,3112.6121,3169.3117,3110.5462,3313.3713
24,2020-02-07,10,0,2077.4163,2139.4129,2010.3545,1913.8323,1834.7722,2132.0429,2370.0660000000003,2549.4655,2974.8909,3176.5085,3000.3641,3242.9058,3121.5015,3202.0967,3305.8312,3097.8177
29,2020-02-14,10,0,2139.4129,2010.3545,1913.8323,1818.6734,1798.289,2410.032,2487.3021,2697.4186,3019.0355,3314.0714,3027.0399,3210.5859,3176.2702,3322.1943,3307.9135,3000.7238
33,2020-02-21,16,0,2107.7886,1850.4402,1887.8316,1735.1105,1930.3228,2403.2965,2380.9226,2729.9004,3024.1536,3408.0352,3172.2073,3065.5368,3206.3903,3203.704,3340.8984,3064.006
38,2020-02-28,31,0,1850.4402,1887.8316,1735.1105,1882.7915,1966.9637,2307.1135,2474.5855,3008.2062,3184.5018,3250.8913,3170.4396,3285.9249,3126.3967,3116.6404,3258.3467,3121.3682
43,2020-03-06,120,6,1887.8316,1735.1105,1882.7915,1914.9554,2017.1979999999999,2374.5936,2651.6201,3235.1053,3150.1637,3134.9007,3387.0216,3114.4312,3219.3181,3235.4181,3194.9223,3122.2654
48,2020-03-13,1234,8,1735.1105,1882.7915,1914.9554,1903.6781,2294.2983,2386.3504,2644.3448,3111.4098,3286.3914,2912.0093,3192.7601,3111.8099,3196.6842,3266.9584,3127.4231,3098.4555
53,2020-03-20,8469,135,1882.7915,1914.9554,1903.6781,2132.0429,2371.9196,2445.07,2750.1658,3056.9559,3410.0939,3154.4836,3194.9590000000003,3166.077,3256.4933,3370.0891,3000.1421,3310.1020000000003
58,2020-03-27,60591,1154,1914.9554,1903.6781,2132.0429,2410.032,2361.7102,2466.0531,2830.1087,3130.0824,3523.6384,3178.0691,3208.7783,3157.781,3166.2416,3281.3295,3059.6054,3375.4923
63,2020-04-03,159264,5445,1903.6781,2132.0429,2410.032,2401.1231,2341.9484,2512.7482,3135.0009999999997,3139.5948,3263.6375,3434.6474,3112.6121,3169.3117,3110.5462,3313.3713,3108.2449,3334.7739
72,2020-04-17,206847,15500,2361.019,2403.2965,2307.1135,2374.5936,2465.4339999999997,2678.7146,3103.8184,3287.1294,3048.6423,3170.6438,3112.7057,3257.3736,3209.3337,3033.0092,3211.4324,3301.7591
