,Date,New Cases,New Deaths,volume,1_week_future_vol,2_week_future_vol,3_week_future_vol,1_month_future_vol,2_month_future_vol,3_month_future_vol,4_month_future_vol,5_month_future_vol,6_month_future_vol,7_month_future_vol,8_month_future_vol,9_month_future_vol,10_month_future_vol,11_month_future_vol,12_month_future_vol
19,2020-01-31,7,0,15565783.0,5095347.0,2606169.0,6535797.0,4764481.0,3609870.0,3117814.0,3970652.0,6387759.0,3167274.0,5330741.0,8361378.0,4358523.0,4155074.0,4223995.0,3033607.0
24,2020-02-07,10,0,5095347.0,2606169.0,6535797.0,6754011.0,5644331.0,6716709.0,4782919.0,3873335.0,6394192.0,2691237.0,6449039.0,5220616.0,2916836.0,3836560.0,3749753.0,4533801.0
29,2020-02-14,10,0,2606169.0,6535797.0,6754011.0,7813232.0,9645218.0,5770694.0,3998143.0,3208780.0,5656906.0,4666258.0,5529392.0,5900901.0,3774803.0,4865433.0,4158202.0,5461578.0
33,2020-02-21,16,0,4637440.0,9493797.0,5273580.0,8809725.0,7147080.0,3831797.0,5056876.0,6450784.0,2972035.0,2881978.0,4896101.0,8396081.0,3127424.0,2655548.0,3598263.0,3012489.0
38,2020-02-28,31,0,9493797.0,5273580.0,8809725.0,9817850.0,5123626.0,9772526.0,2670947.0,6880642.0,3930025.0,8717754.0,4304239.0,4617250.0,4100836.0,3484582.0,2335339.0,3118314.0
43,2020-03-06,120,6,5273580.0,8809725.0,9817850.0,5387897.0,5113983.0,3211228.0,4946029.0,7720130.0,3527229.0,4529596.0,5828916.0,3762587.0,4412826.0,5309835.0,3501179.0,2958981.0
48,2020-03-13,1234,8,8809725.0,9817850.0,5387897.0,3609870.0,6866567.0,4234951.0,2959316.0,7596741.0,4185137.0,6114575.0,4591888.0,3346388.0,2093787.0,4660158.0,2733963.0,3093896.0
53,2020-03-20,8469,135,9817850.0,5387897.0,3609870.0,6716709.0,4218097.0,2867075.0,4526605.0,4170379.0,6508743.0,4224165.0,5588330.0,4063916.0,2940486.0,7088781.0,4089308.0,2812090.0
58,2020-03-27,60591,1154,5387897.0,3609870.0,6716709.0,5770694.0,4591593.0,2938032.0,6363439.0,5072413.0,3931476.0,3752832.0,6839041.0,2751316.0,3514954.0,3021550.0,2918592.0,3233080.0
63,2020-04-03,159264,5445,3609870.0,6716709.0,5770694.0,5645645.0,3117814.0,3970652.0,6387759.0,3167274.0,5330741.0,8361378.0,4358523.0,4155074.0,4223995.0,3033607.0,2902179.0,2576950.0
72,2020-04-17,206847,15500,7930010.0,3831797.0,9772526.0,3211228.0,4320494.0,5776963.0,4103211.0,3575862.0,5652665.0,3466687.0,3587102.0,5656787.0,4293556.0,3988725.0,3314882.0,3711308.0
77,2020-04-24,201724,15414,3831797.0,9772526.0,3211228.0,4234951.0,5056876.0,6450784.0,2972035.0,2881978.0,4896101.0,8396081.0,3127424.0,2655548.0,3598263.0,3012489.0,3281798.0,4936410.0
82,2020-05-01,195210,13828,9772526.0,3211228.0,4234951.0,2867075.0,2670947.0,6880642.0,3930025.0,8717754.0,4304239.0,4617250.0,4100836.0,3484582.0,2335339.0,3118314.0,2725405.0,2679108.0
87,2020-05-08,187348,12706,3211228.0,4234951.0,2867075.0,2938032.0,4946029.0,7720130.0,3527229.0,4529596.0,5828916.0,3762587.0,4412826.0,5309835.0,3501179.0,2958981.0,4880708.0,2383986.0
92,2020-05-15,158804,10363,4234951.0,2867075.0,2938032.0,3970652.0,2959316.0,7596741.0,4185137.0,6114575.0,4591888.0,3346388.0,2093787.0,4660158.0,2733963.0,3093896.0,5815530.0,2397068.0
97,2020-05-22,158299,9452,2867075.0,2938032.0,3970652.0,3873335.0,4526605.0,4170379.0,6508743.0,4224165.0,5588330.0,4063916.0,2940486.0,7088781.0,4089308.0,2812090.0,5828603.0,3472630.0
101,2020-05-29,144792,6815,3529328.0,3306233.0,5436127.0,5776963.0,3769686.0,8083330.0,3471592.0,5602598.0,4897747.0,2913611.0,3514545.0,2203526.0,2421568.0,3135204.0,3325022.0,4202782.0
