,v,vw,o,c,h,l,t,n
0,4897747.0,3045.9706,3018.53,3048.41,3074.9,2980.98,1604379600000,247963
1,6839041.0,3208.7783,3159.99,3241.16,3244.85,3139.73,1604466000000,323719
2,5785685.0,3333.0865,3319.97,3322.0,3366.8,3288.88,1604552400000,263106
3,4617250.0,3285.9249,3304.64,3311.37,3322.0,3232.0,1604638800000,206123
4,7190406.0,3206.0707,3231.03,3143.74,3289.0,3112.1057,1604898000000,382356
5,6564956.0,3052.0917,3095.02,3035.02,3114.0,3019.4828,1604984400000,379848
6,4358523.0,3112.6121,3061.78,3137.39,3139.145,3050.0,1605070800000,224336
7,4371208.0,3123.1409,3159.95,3110.28,3175.88,3086.05,1605157200000,215252
8,3762587.0,3114.4312,3122.0,3128.81,3141.7227,3085.39,1605243600000,181421
9,3808676.0,3116.8815,3093.2,3131.06,3142.7,3072.685,1605502800000,190494
10,3444735.0,3157.0513,3183.5445,3135.66,3189.25,3135.26,1605589200000,187447
11,2916836.0,3121.5015,3134.0,3105.46,3140.0,3105.1,1605675600000,169469
12,2997770.0,3108.7158,3105.31,3117.02,3125.0,3080.92,1605762000000,164545
13,3346388.0,3111.8099,3117.02,3099.4,3132.89,3098.0456,1605848400000,163911
14,4708887.0,3100.0714,3116.6986,3098.39,3139.745,3065.46,1606107600000,256233
15,3587102.0,3112.7057,3100.5,3118.06,3134.25,3086.258,1606194000000,206272
16,3774803.0,3176.2702,3141.87,3185.07,3198.0,3140.26,1606280400000,217294
17,2392867.0,3203.3691,3211.26,3195.34,3216.19,3190.05,1606453200000,130646
18,4063916.0,3166.077,3208.48,3168.04,3228.39,3125.55,1606712400000,230589
19,4544382.0,3208.3125,3188.5,3220.08,3248.95,3157.18,1606798800000,236351
20,3127424.0,3206.3903,3221.65,3203.53,3232.0,3173.2601,1606885200000,166667
21,2892039.0,3201.9362,3205.46,3186.73,3228.64,3181.31,1606971600000,167058
22,2913611.0,3170.3631,3198.21,3162.58,3198.21,3158.76,1607058000000,165673
23,2751316.0,3157.781,3156.48,3158.0,3180.76,3141.69,1607317200000,149203
24,3286303.0,3152.596,3158.9,3177.29,3184.13,3120.02,1607403600000,181280
25,4100836.0,3126.3967,3167.89,3104.2,3174.43,3088.0,1607490000000,240020
26,3029822.0,3109.8409,3088.99,3101.49,3142.1,3076.0,1607576400000,174755
27,3028295.0,3100.7187,3096.66,3116.42,3118.67,3072.82,1607662800000,158149
28,4155074.0,3169.3117,3143.0,3156.97,3190.47,3126.0,1607922000000,202647
29,3323686.0,3157.1352,3181.01,3165.12,3188.4999,3130.49,1608008400000,162626
30,4412826.0,3219.3181,3176.01,3240.96,3247.0,3163.68,1608094800000,212078
31,3474347.0,3239.6763,3250.0,3236.08,3263.51,3221.0,1608181200000,156922
32,5995713.0,3202.3084,3243.99,3201.65,3249.42,3171.6,1608267600000,205390
